Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","providencia","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","60","55","1","1","1","1","0","4190","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5731139-puerta-del-sol-uda"
"portal inmobiliario","rm","nunoa","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","98","90","3","2","0","1","1","7500","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5731188-juan-enrique-concha-uda"
"portal inmobiliario","rm","santiago","21/07/2020","aparment","usada","12","Done","-16","-16","-16","N","38","35","1","1","1","1","1","2500","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5730370-tucapel-jimenez-76-uda"
"portal inmobiliario","rm","santiago","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","42","42","2","1","1","1","0","2500","https://www.portalinmobiliario.com/mlc-537935718-departamento-en-venta-de-2-dorm-en-santiago-_jm"
"portal inmobiliario","rm","estacion central","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","28","28","1","1","0","0","0","1799","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5730604-las-rejas-norte-uda"
"portal inmobiliario","rm","quinta normal","19/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","49","47","3","1","1","0","0","1909","https://www.portalinmobiliario.com/mlc-537310137-departamento-en-venta-de-3-dorm-en-quinta-normal-_jm"
"portal inmobiliario","rm","independencia","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","39","33","1","1","1","0","0","2450","https://www.portalinmobiliario.com/mlc-537961432-sergio-roberto-livingstone-pohlhammer-1148-independencia-_jm"
"portal inmobiliario","rm","providencia","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","66","60","2","2","1","1","1","5800","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5723978-avenida-nueva-providencia-1372-uda"
"portal inmobiliario","rm","estacion central","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","30","30","1","1","0","0","1","1803","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5723732-blanco-garces-uda"
"portal inmobiliario","rm","santiago","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","28","28","1","1","0","0","0","1789","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5723837-general-gana-uda"
"portal inmobiliario","rm","independencia","23/01/2020","aparment","nueva","-16","venta en verde","1 semestre 2021","-16","-16","N","73","30","3","2","1","1","0","2309","https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/9006-edificio-santa-maria-nva"
"portal inmobiliario","rm","macul","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","61","61","2","2","0","1","1","3506","https://www.portalinmobiliario.com/venta/departamento/macul-metropolitana/5728980-quilin-uda"
"portal inmobiliario","rm","las condes","18/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","170","126","3","3","2","1","1","17500","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5724681-alsacia-el-golf-uda"
"portal inmobiliario","rm","providencia","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","176","176","4","4","0","0","0","9680","https://www.portalinmobiliario.com/mlc-537817852-eliodoro-yanez-metro-salvador-_jm"
"portal inmobiliario","rm","santiago","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","75","72","3","2","0","1","1","4930","https://www.portalinmobiliario.com/mlc-537040260-eleuterio-ramirez-_jm"
"portal inmobiliario","rm","las condes","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","360","180","3","3","0","1","1","22500","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4714949-gran-departamento-con-preciosa-vista-panoramica-terraza-de-180-m2-y-grandes-espacios-canta-gallo-uda"
"portal inmobiliario","rm","vitacura","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","190","100","2","2","2","1","1","17000","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5732750-nuevos-candelaria-goyenechea-3-unidades-uda"
"portal inmobiliario","rm","providencia","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","89","79","2","2","1","1","0","7490","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5726888-los-leonesaguilucho-c_259982-uda"
"portal inmobiliario","rm","lo prado","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","50","44","2","2","0","0","1","2444","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5730555-sta-petronila-uda"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","93","80","3","2","1","1","1","7500","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726459-sebastian-el-canocolon-c_259918-uda"
"portal inmobiliario","rm","las condes","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","135","130","2","4","1","1","0","9479","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5728820-duplex-plaza-peru-metro-el-golf-excelente-oportunidad-remodelar-uda"
"portal inmobiliario","rm","santiago","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","56","55","2","2","1","1","1","3500","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5730766-metro-avenida-matta-con-estacionamiento-y-bodega-uda"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","92","80","3","3","1","1","1","7300","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726426-colon-domingo-bondi-c_259868-uda"
"portal inmobiliario","rm","santiago","21/07/2020","aparment","usada","-16","disponible","-16","70000","-16","N","47","45","2","2","1","1","1","3140","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5729094-santa-isabel-fray-camilo-henriquez-uda"
"portal inmobiliario","rm","lo barnechea","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","187","167","3","3","1","0","1","15000","https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5727149-valle-del-monasterio-c_260128-uda"
"portal inmobiliario","rm","maipu","18/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","42","42","3","1","1","1","0","1111","https://www.portalinmobiliario.com/venta/departamento/maipu-metropolitana/5724858-san-jose-2579-uda"
"portal inmobiliario","rm","las condes","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","72","65","2","2","1","1","1","8200","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5728564-metro-alcantara-uda"
"portal inmobiliario","rm","santiago","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","45","43","2","2","1","0","1","2600","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5730754-metro-parque-almagro-toesca-orientacion-norte-uda"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","102","90","2","2","2","1","1","10800","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5723089-con-video-las-hualtatas-moderno-uda"
"portal inmobiliario","rm","nunoa","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","51","51","2","1","1","1","1","4300","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5732656-lincoyan-julio-prado-uda"
