Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,PriceUF,MtTot,UFxMt2,ValueScore,Score,Link
portal inmobiliario,Huechuraba,05/06/2020,Aparment,usada,4,3,1,6500,150,43,4500,692,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5650301-vende-exclusivo-oportunidad-modelo-de-140-mts-uda#position=20&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,08/04/2020,Aparment,usada,4,4,1,6300,169,37,5746,912,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5548086-pedro-fontova-7788-uda#position=2&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,05/18/2020,Aparment,usada,3,2,1,5100,100,51,2200,431,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5615823-del-roble-1578-uda#position=33&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/28/2020,Aparment,usada,3,2,1,4990,125,39,2750,551,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5635109-hermoso-dpto-en-cond-gran-vista-al-valle-de-huechuraba-uda#position=26&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/14/2020,Aparment,usada,3,2,1,5300,130,40,2860,539,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5555623-los-libertadores-7135-uda#position=48&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,06/30/2020,Aparment,usada,3,2,2,6250,130,48,3120,499,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5690446-camino-de-cintura-pedro-fontova-uda#position=7&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,01/07/2020,Aparment,usada,3,3,2,5900,140,42,3920,664,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5690982-remodelado-y-muy-amplio-uda#position=6&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/22/2020,Aparment,usada,3,3,2,5630,114,49,3192,566,https://www.portalinmobiliario.com/MLC-524380262-departamento-en-venta-pedro-fontova-_JM#position=44&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,12/06/2020,Aparment,usada,3,2,1,4700,106,44,2332,496,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5662455-lindo-y-comodo-departamento-santa-marta-de-huechuraba-uda#position=17&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/29/2020,Aparment,usada,3,2,1,5300,154,34,3388,639,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5584195-los-libertadores-berta-correa-uda#position=43&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
