SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200731,portal inmobiliario,rm,la florida,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,50,48,2,1,1.0,1,0,1,2218,46.0,488.0,220,https://www.portalinmobiliario.com/mlc-539003124-departamento-en-venta-de-2-dormitorios-en-la-florida-_jm
20200731,portal inmobiliario,rm,lo barnechea,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,140TO150,202,142,3,3,1.0,0,1,1,13690,96.0,2697.0,197,https://www.portalinmobiliario.com/mlc-538998290-departamento-en-venta-de-3-dormitorios-en-lo-barnechea-_jm
20200731,portal inmobiliario,rm,vitacura,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,100,90,1,2,1.0,1,0,1,10500,117.0,1151.0,109,https://www.portalinmobiliario.com/mlc-539009436-departamento-en-venta-de-1-dormitorio-en-vitacura-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,52,47,2,2,1.0,1,1,0,3600,77.0,686.0,190,https://www.portalinmobiliario.com/mlc-539001763-departamento-en-venta-de-2-dormitorios-en-santiago-_jm
20200731,portal inmobiliario,rm,san miguel,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,90TO100,99,93,3,2,1.0,1,1,1,5450,59.0,1431.0,262,https://www.portalinmobiliario.com/mlc-539160888-departamento-en-venta-de-3-dorm-en-san-miguel-_jm
20200731,portal inmobiliario,rm,estacion central,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,LT30,22,22,1,1,0.0,0,0,1,1441,66.0,115.0,79,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5749521-blanco-garces-uda
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,84,76,2,2,1.0,1,1,1,6990,92.0,1148.0,164,https://www.portalinmobiliario.com/mlc-538998059-departamento-en-venta-de-2-dorm-en-nunoa-_jm
20200731,portal inmobiliario,rm,la florida,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,67,64,3,2,1.0,1,0,1,3729,58.0,912.0,244,https://www.portalinmobiliario.com/mlc-539002671-departamento-en-venta-de-3-dormitorios-en-la-florida-_jm
20200731,portal inmobiliario,rm,vitacura,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,100TO110,110,110,2,3,0.0,0,1,1,9200,84.0,1677.0,182,https://www.portalinmobiliario.com/mlc-539032854-departamento-en-venta-de-2-dorm-en-vitacura-_jm
20200731,portal inmobiliario,rm,nunoa,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,44,40,1,1,1.0,1,1,1,3850,96.0,436.0,113,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5748664-manuel-montt-av-sucre-uda
20200731,portal inmobiliario,rm,independencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,42,40,2,1,1.0,1,1,0,1950,49.0,428.0,219,https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/5746086-avenida-independencia-733-uda
20200731,portal inmobiliario,rm,lo barnechea,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,80TO90,89,85,3,2,1.0,1,0,0,6600,78.0,1234.0,186,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5746041-el-colorado-el-colorado-region-metropo-uda
20200731,portal inmobiliario,rm,providencia,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,84,82,2,1,1.0,2,1,1,7500,91.0,1221.0,162,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5748789-silvina-hurtado-antonio-varas-uda
20200731,portal inmobiliario,rm,san miguel,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,54,54,2,2,0.0,1,1,1,3285,61.0,675.0,205,https://www.portalinmobiliario.com/mlc-539187970-walker-martinez-metro-ciudad-del-nino-_jm
20200731,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO120,135,120,3,3,1.0,1,1,1,9490,79.0,2425.0,255,https://www.portalinmobiliario.com/mlc-538998425-departamento-en-venta-de-3-dormitorios-en-providencia-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,LT30,30,30,1,1,0.0,1,0,1,1950,65.0,270.0,138,https://www.portalinmobiliario.com/mlc-539001712-departamento-en-venta-de-1-dormitorio-en-santiago-_jm
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,74,70,3,2,1.0,1,1,1,4650,66.0,1181.0,253,https://www.portalinmobiliario.com/mlc-539020651-departamento-en-venta-de-3-dorm-en-nunoa-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,140TO150,162,145,4,4,1.0,1,1,1,11900,82.0,3529.0,296,https://www.portalinmobiliario.com/mlc-539003342-departamento-en-venta-de-4-dormitorios-en-las-condes-_jm
20200731,portal inmobiliario,rm,san miguel,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,72,65,2,2,1.0,1,1,0,3472,53.0,847.0,243,https://www.portalinmobiliario.com/mlc-539013372-metro-san-miguel-est-y-bod-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,110,95,3,2,1.0,1,1,0,6600,69.0,1691.0,256,https://www.portalinmobiliario.com/mlc-539013255-manquehue-oportunidad-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,45,43,2,2,1.0,0,1,1,2755,64.0,569.0,206,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5747304-eleuterio-ramirez-san-francisco-uda
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,78,78,2,2,0.0,1,1,0,5400,69.0,1053.0,195,https://www.portalinmobiliario.com/mlc-539000849-departamento-en-venta-de-2-dormitorios-en-nunoa-_jm
20200731,portal inmobiliario,rm,providencia,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,78,71,3,2,1.0,1,1,1,6279,88.0,1273.0,202,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5742037-arturo-medina-uda
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,56,48,2,2,1.0,2,1,1,2913,61.0,819.0,281,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5746693-oportunidad-para-inversion-o-vivir-2-estacionamientos-1-bodega-uda
20200731,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,96,91,3,2,1.0,0,1,0,5500,60.0,1418.0,257,https://www.portalinmobiliario.com/mlc-539000556-departamento-en-venta-de-3-dormitorios-en-providencia-_jm
20200731,portal inmobiliario,rm,san miguel,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,87,87,3,2,0.0,1,0,0,3298,38.0,1131.0,342,https://www.portalinmobiliario.com/mlc-539013104-metro-san-miguel-con-estacionamiento-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,61,58,2,2,1.0,0,1,1,2777,48.0,769.0,276,https://www.portalinmobiliario.com/mlc-539013206-marin-bodega-y-cocina-cerrada-_jm
20200731,portal inmobiliario,rm,la granja,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,80TO90,48,46,2,1,1.0,1,1,1,2280,50.0,479.0,210,https://www.portalinmobiliario.com/mlc-539032031-departamento-en-venta-de-2-dormitorios-en-la-granja-_jm
20200731,portal inmobiliario,rm,lo barnechea,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,130TO140,190,140,3,3,1.0,0,0,0,14100,101.0,2360.0,167,https://www.portalinmobiliario.com/mlc-539033607-departamento-en-venta-de-3-dormitorios-en-lo-barnechea-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO120,140,120,2,2,1.0,1,1,1,10200,85.0,1952.0,191,https://www.portalinmobiliario.com/mlc-539180080-los-alpes-cristobal-colon-metro-manquehue-_jm
