SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200721,portal inmobiliario,rm,las condes,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,-16,32,-16.0,1,1,0.0,1,1,1,4700,147.0,206.0,43,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726363-avda-las-condes-apoquindo-c_259726-uda
20200721,portal inmobiliario,rm,las condes,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO150,300,150,100.0,2,3,1.0,2,1,1,18500,123.0,3937.0,212,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726192-penthouse-las-condes-2d-gran-terraza-metro-uda
20200721,portal inmobiliario,rm,santiago,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,37,37,0.0,1,1,0.0,0,0,1,2000,54.0,277.0,138,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5616824-tarapaca-uda
20200721,portal inmobiliario,rm,penalolen,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,110TO130,145,120,21.0,3,2,1.0,1,1,0,9690,81.0,1885.0,194,https://www.portalinmobiliario.com/venta/departamento/penalolen-metropolitana/5727820-nuevo-valor-con-1-ano-de-uso-impecable-3d2b-uda
20200721,portal inmobiliario,rm,vitacura,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO150,173,140,24.0,2,4,1.0,2,1,1,16900,121.0,3178.0,188,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5727710-departamento-1055-uda
20200721,portal inmobiliario,rm,santiago,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,42,41,2.0,2,1,1.0,0,1,1,2550,62.0,455.0,178,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5723628-arturo-prat-uda
20200721,portal inmobiliario,rm,nunoa,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,89,85,5.0,3,3,1.0,2,1,1,7500,88.0,1732.0,230,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5723070-lyon-irarrazabal-uda
20200721,portal inmobiliario,rm,las condes,2020-07-15,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,100TO110,120,110,9.0,3,2,1.0,1,1,1,7600,69.0,1966.0,258,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5720177-av-tomas-moro-colon-rotonda-atenas-uda
20200721,portal inmobiliario,rm,santiago,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,35,35,0.0,1,1,0.0,1,1,1,2266,65.0,350.0,154,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5725938-metro-santa-lucia-1d-uda
20200721,portal inmobiliario,rm,santiago,2020-07-16,aparment,usada,-16,disponible,-16,-16,26,Y,4.0,80TO90,89,89,0.0,3,2,0.0,2,1,0,5100,57.0,1513.0,296,https://www.portalinmobiliario.com/mlc-536872519-amunategui-890-santiago-chile-_jm
