Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"toctoc","Santiago","02-05-2020","House","TBD","117 m²","3.0","2.0","TBD","UF  5.100","https://www.toctoc.com/propiedades/compraparticularsr/casa/santiago/joaquin-vicuna-1015-santiago/1471078?o=resultado_lista_seo_info"
"toctoc","Santiago","29-06-2020","House","TBD","146 m²","4.0","2.0","TBD","$  149.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/casa-en-venta-barrio-brasil/1506852?o=resultado_lista_seo_info"
"toctoc","Santiago","11-05-2020","House","TBD","0 m²","6.0","1.0","TBD","UF  4.629","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/portugal-victoria/1358303?o=resultado_lista_seo_info"
"toctoc","Santiago","15-04-2020","House","TBD","0 m²","3.0","2.0","TBD","UF  6.460","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/general-gana-carmen/1315219?o=resultado_lista_seo_info"
"toctoc","Santiago","01-07-2020","House","TBD","0 m²","3.0","2.0","TBD","UF  6.990","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/moneda-entre-herrera-y-maipu/1507834?o=resultado_lista_seo_info"
"toctoc","Santiago","30-04-2020","House","TBD","0 m²","5.0","2.0","TBD","$  127.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/metro-estacion-central-5-de-abril-las-rejas-sur/1469192?o=resultado_lista_seo_info"
"toctoc","Santiago","02-06-2020","House","TBD","0 m²","5.0","2.0","TBD","UF  6.100","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/matta-carmen/1427899?o=resultado_lista_seo_info"
"toctoc","Santiago","09-03-2020","House","TBD","0 m²","4.0","2.0","TBD","UF  4.370","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/metro-rondizzoni-chilevision-canal-de-tv/1439854?o=resultado_lista_seo_info"
"toctoc","Santiago","27-03-2020","House","TBD","0 m²","6.0","2.0","TBD","UF  6.794","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/metro-nuble-carmen-pedro-lagos/1451798?o=resultado_lista_seo_info"
"toctoc","Santiago","16-06-2020","House","TBD","0 m²","3.0","3.0","TBD","$  118.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/region-metropolitana-santiago-maipu/1497950?o=resultado_lista_seo_info"
"toctoc","Santiago","13-04-2020","House","TBD","100 m²","3.0","1.0","TBD","$  140.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/casa-en-rogelio-ugarte-santiago/1458114?o=resultado_lista_seo_info"
"toctoc","Santiago","03-07-2020","House","TBD","0 m²","3.0","2.0","TBD","UF  6.620","https://www.toctoc.com/propiedades/compracorredorasr/casa/santiago/general-gana/1509409?o=resultado_lista_seo_info"
"toctoc","Huechuraba","06-12-2019","Aparment","TBD","115 m²","3.0","3.0","TBD","UF  5.200","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/pedro-fontova/1373751?o=resultado_lista_seo_info"
"toctoc","Huechuraba","20-05-2020","Aparment","TBD","0 m²","3.0","3.0","TBD","UF  6.000","https://www.toctoc.com/propiedades/compraparticularsr/departamento/huechuraba/rinconada-el-salto-935-piso-13-huechuraba/1410173?o=resultado_lista_seo_info"
"toctoc","Huechuraba","05-05-2020","Aparment","TBD","112 m²","3.0","3.0","TBD","UF  6.450","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/bosques-de-la-piramide/1459836?o=resultado_lista_seo_info"
"toctoc","Huechuraba","13-05-2020","Aparment","TBD","469 m²","3.0","2.0","TBD","UF  6.750","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/lindo-departamento-casi-nuevo-bosques-de-la-piramide-llamar-al-953565515/1479311?o=resultado_lista_seo_info"
"toctoc","Huechuraba","21-02-2020","Aparment","TBD","115 m²","3.0","2.0","TBD","UF  5.468","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/pedro-fontova/1427317?o=resultado_lista_seo_info"
"toctoc","Huechuraba","04-07-2020","Aparment","TBD","115 m²","3.0","3.0","TBD","UF  6.150","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/rinconada-el-salto/1453308?o=resultado_lista_seo_info"
"toctoc","Huechuraba","06-12-2019","Aparment","TBD","140 m²","4.0","3.0","TBD","$  130.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/huechuraba-santa-marta/1373833?o=resultado_lista_seo_info"
"toctoc","Huechuraba","17-05-2020","Aparment","TBD","100 m²","3.0","2.0","TBD","UF  5.300","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/amplio-departamento-en-venta-con-jardin-privado/1481206?o=resultado_lista_seo_info"
