SNAP_DT	SRCE	REGION	PROVINCE	PROPERTY_TYPE	PROPERTY_STATE	SIZE_GROUP	COUNT	MT_TOT_AVG	MT_UTIL_AVG	PRICE_AVG	ETL_UF_X_MT2_AVG	ETL_VALUE_AVG	ETL_SCORE_AVG
20200718	portal inmobiliario	rm	cerrillos	house	usada	110TO130	2	128	116	3779	30	1492	392
20200718	portal inmobiliario	rm	macul	house	usada	150TO2H	6	323	175	7950	28	3065	388
20200718	portal inmobiliario	rm	lo conchali	house	usada	80TO90	2	170	90	2951	18	1142	387
20200718	portal inmobiliario	rm	santiago	house	usada	130TO150	4	277	140	8018	30	3040	387
20200718	portal inmobiliario	rm	pudahuel	house	usada	90TO100	4	129	98	3737	29	1368	386
20200718	portal inmobiliario	rm	penalolen	house	usada	3HTO4H	1	140	323	9500	67	3641	383
20200718	portal inmobiliario	rm	la florida	house	usada	100TO110	3	260	104	5417	21	2097	382
20200718	portal inmobiliario	rm	pedro aguirre cerda	house	usada	110TO130	1	150	130	5173	34	1976	381
20200718	portal inmobiliario	rm	maipu	aparment	usada	80TO90	10	61	61	1991	31	724	380
20200718	portal inmobiliario	rm	las condes	house	usada	2HTO250	47	495	222	17335	39	6612	380
20200718	portal inmobiliario	rm	la cisterna	house	usada	90TO100	1	190	92	4756	25	1805	379
20200718	portal inmobiliario	rm	buin	house	usada	110TO130	2	255	121	5645	22	2135	378
20200718	portal inmobiliario	rm	quilicura	house	usada	90TO100	3	133	97	3443	26	1268	376
20200718	portal inmobiliario	rm	san bernardo	house	usada	100TO110	3	194	110	4921	26	1837	376
20200718	portal inmobiliario	rm	penalolen	house	usada	130TO150	44	303	141	8696	32	3171	372
20200718	portal inmobiliario	rm	el monte	house	usada	80TO90	1	70	60	1177		438	372
20200718	portal inmobiliario	rm	nunoa	house	usada	150TO2H	10	445	182	13433	31	4900	370
20200718	portal inmobiliario	rm	lo barnechea	house	usada	5HTO1K	2	275	650	20625	74	7580	370
20200718	portal inmobiliario	rm	las condes	aparment	usada	3HTO4H	8	346	348	22774	-117	8360	368
20200718	portal inmobiliario	rm	quilicura	house	usada	80TO90	23	123	77	2718	24	947	366
20200718	portal inmobiliario	rm	huechuraba	house	usada	90TO100	2	150	95	4850	32	1773	365
20200718	portal inmobiliario	rm	maipu	house	usada	100TO110	6	151	109	4938	33	1774	364
20200718	portal inmobiliario	rm	colina	house	nueva	150TO2H	3	465	170	12527	27	4540	362
20200718	portal inmobiliario	rm	lo conchali	house	usada	150TO2H	1	500	160	11200	22	4008	357
20200718	portal inmobiliario	rm	san miguel	aparment	usada	100TO110	1	112	102	4469	39	1590	355
20200718	portal inmobiliario	rm	la reina	house	usada	150TO2H	40	441	179	13389	33	4777	354
20200718	portal inmobiliario	rm	la pintana	aparment	usada	80TO90	3	51	27	1167	23	411	352
20200718	portal inmobiliario	rm	cerro navia	house	usada	80TO90	2	151	51	2047	14	723	350
20200718	portal inmobiliario	rm	el bosque	aparment	usada	80TO90	9	56	48	1430	26	480	348
20200718	portal inmobiliario	rm	lo prado	house	usada	80TO90	1	162	78	2881	17	999	346
20200718	portal inmobiliario	rm	quilicura	house	usada	100TO110	1	139	106	4000	28	1376	344
20200718	portal inmobiliario	rm	santiago	house	usada	110TO130	2	146	115	4253	30	1407	344
20200718	portal inmobiliario	rm	providencia	aparment	usada	250TO3H	3	295	262	14947	51	4991	342
20200718	portal inmobiliario	rm	maipu	house	usada	80TO90	42	123	68	2848	25	951	341
20200718	portal inmobiliario	rm	independencia	house	usada	110TO130	2	168	125	6458	35	1490	341
20200718	portal inmobiliario	rm	lampa	house	usada	80TO90	8	111	68	2692	-9	896	339
20200718	portal inmobiliario	rm	nunoa	aparment	usada	130TO150	2	207	137	9876	47	3287	338
