,PriceUnit,Price,item,link
68,$,400.000.000,$ 400.000.000,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5755615-av-brasilbaquedano-uda#position=19&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
69,UF,10.500,UF 10.500,https://www.portalinmobiliario.com/MLC-539577369-chiloe-1816-santiago-chile-_JM#position=20&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
70,$,110.000.000,$ 110.000.000,https://www.portalinmobiliario.com/MLC-539531684-casa-en-venta-de-7-dorm-en-santiago-_JM#position=21&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
71,$,420.000.000,$ 420.000.000,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5755157-casa-en-amplio-terreno-sector-club-hipico-para-remodelar-uda#position=22&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
72,$,145.000.000,$ 145.000.000,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5755155-excelente-casa-en-nuble-arturo-prat-uda#position=23&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
73,$,69.000.000,$ 69.000.000,https://www.portalinmobiliario.com/MLC-539483103-casa-en-venta-de-2-dormitorios-en-santiago-_JM#position=24&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
74,$,350.000.000,$ 350.000.000,https://www.portalinmobiliario.com/MLC-539483043-casa-en-venta-de-13-dormitorios-en-santiago-_JM#position=25&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
75,$,350.000.000,$ 350.000.000,https://www.portalinmobiliario.com/MLC-539481924-casa-en-venta-de-13-dormitorios-en-santiago-_JM#position=26&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
76,$,69.000.000,$ 69.000.000,https://www.portalinmobiliario.com/MLC-539481665-casa-en-venta-de-2-dormitorios-en-santiago-_JM#position=27&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
77,$,245.000.000,$ 245.000.000,https://www.portalinmobiliario.com/MLC-539481523-casa-en-venta-de-15-dormitorios-en-santiago-_JM#position=28&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
78,UF,7.050,UF 7.050,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5577971-emblematico-barrio-yungay-en-condominio-casa-town-house-un-concepto-diferente-4-pisos-ultimo-terraza-panoramnica-uda#position=29&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
79,UF,7.050,UF 7.050,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5194360-emblematico-barrio-yungay-en-condominio-casa-town-house-un-concepto-diferente-4-pisos-ultimo-terraza-panoramnica-uda#position=30&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
